input,output
pixels that are switched on. Figure 8-26 uses an example to illustrate this functionality. In this example, the 
In the Figure 8-23 example, the Hero object is grouped as the shadow caster of the minion shadow receiver. 
correspond to the shadow receiver; this is similar to switching on the white triangle in Figure 8-26, enabling 
function ShadowCasterShader(vertexShaderPath, fragmentShaderPath) { 
ShadowCasterShader. prototype. activateShader = function (pixelColor, aCamera) { 
1. Edit the Engine_Core. js file. In the_initializeWebGL() function, add the 
2. Modify the clearCanvasQ function. In addition to clearing the canvas, the 
function ShadowCaster (shadowCaster, shadowReceiver) { 
The draw( ) function first saves the current transform, shader
Figure 8-28, there are two cases to consider: parallel projection for a directional 
SpriteShader. prototype. setMaterialAndCameraPos = function(m, p) { }; 
this. The _setupShadow() function is called at the end ofthe MyGame initialize() function, when all 
Figure 8-29. Playdead and Double Eleven’s Limbo, a 2D side-scrolling game making clever use of background 
Figure 8-30. The simple game mechanic project, without lighting. Recall that the player controls the circle 
Figure 8-32. The player is able to directly activate the objects as in the first iteration of the mechanic, but the 
Figure 8-34. With the flashlight revealing the hidden symbol, the player can now activate the object (#2)
Figure 8-35. The player activates the second of the three top sections in the correct order (#4), and the progress 
functionality of the component, you increase the game engine’s ability to create a diverse set of 2D games. 
once for each update ( ) function call, and the dt quantity can simply be the fixed time step. This means that the 
Figure 9-2 shows two objects colliding after a time step. Before the time step, the objects are not touching. 
within one update( ) function call, after the movement integration approximation
functionality that is common to the two bounding shapes. Note that a new class, RigidRectangle
RigidShape. prototype. setPosition = function(x, y ) { 
function RigidRectangle(xform, w
function RigidCircle(xform, r) { 
functionality to detect collisions between two rectangles, between two circles
rectangle and a circle. As illustrated in Figure 9-4, there are three distinct cases 
beginning of the function. For the third and more general case, Figure 9-5 uses two circles with centers 
RigidShape. prototype. collidedRectCirc = function(rectlShape, circ2Shape) { 
RigidShape. prototype. clamp = function (value, min
RigidRectangle. prototype. collidedRectRect = functional, r2) { 
avoid the expensive square root function when computing a vector magnitude, 
RigidCircle. prototype. collidedCircCirc = functional, c2) { 
function Hero(spriteTexture, atX
function Minion(spriteTexture, atX
MyGame . j s file and implement the usual necessary functions of the constructor: initialize ( ), update ( )
With a functioning collision detection system, you can now begin implementing collision resolution and 
and circle collide. Figure 9-5 illustrates the general strategy of computing the collision normal, normal
side of the rectangle. As illustrated in Figure 9-7, the only slight complication is when the circle center is 
in the case of Figure 9-7, the norma 1 vector must be reversed to represent collision normal. 
RigidShape. prototype. collidedRectCirc = function (rectlShape, circ2Shape
RigidRectangle. prototype. collidedRectRect = functional, r2
RigidRectangle. prototype. collided = function(otherShape, collisionlnfo) { 
RigidCircle. prototype. collidedCircCirc = functional, c2
RigidCircle. prototype. collided = function(otherShape, collisionlnfo) { 
var positionalCorrection = function (si, s2
Figure 9-8, fiction is simulated by applying a deceleration in the tangent 
var _applyFriction = function(n, v
Figure 9-9 depicts the details of step F. Si and S2 are the two colliding RigidShapes, where the normal 
var resolveCollision = function (si, s2
var processObjObj = function(objl, obj2) { 
function is 0(1V), where AT is the size of the RigidShape set. It is important to be 
var processObjSet = function(obj, set) { 
function is 0{NM), where TV and M are the sizes of the respective GameObjectSet. 
var processSetSet = function(setl, set2) { 
3. Implement the main function to accumulate colors aggressively, 
2. Now instantiate a new particle shader in the_createShaders() function, as 
3. In the initialize() function, add the following code to properly load the file: 
4. In the cleanup ( ) function, add the following line of code to unload the file when 
function ParticleGameObject(texture, atX
